show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s53,Movie,Sample Title 53,Wei Patel,"Sofia Sharma, Maria Sharma, Alex Silva, Sofia Khan",South Korea,"November 27, 2021",2019,TV-14,157 min,Anime Series,A sample description for demonstration purposes.
s54,TV Show,Sample Title 54,,"Hana Silva, Alex Kim, Emma Brown, Maria Lee, Wei Smith",United States,"September 09, 2008",1957,TV-Y,8 Seasons,"International TV Shows, British TV Shows, Reality TV",A sample description for demonstration purposes.
s55,Movie,Sample Title 55,John Chen,"Raj Patel, Alex Smith, Olu Kim, Priya Sharma, Raj Sharma",United States,2008-02-24,1989,NR,66 min,Sci-Fi & Fantasy,A sample description for demonstration purposes.
s56,Movie,Sample Title 56,Olu Novak,,,2008-05-21,1992,TV-MA,148 min,"Music & Musicals, Dramas",A sample description for demonstration purposes.
s57,Movie,Sample Title 57,,"Nina Sharma, Tom Novak, Priya Patel, Sofia Tanaka",,"February 21, 2008",1985,PG,182 min,"Sports Movies, Anime Series, Sci-Fi & Fantasy",A sample description for demonstration purposes.
s58,Movie,Sample Title 58,Raj Jones,"Priya Khan, Diego Tanaka",Brazil,2008-08-20,1951,NR,191 min,International Movies,A sample description for demonstration purposes.
s59,Movie,Sample Title 59,Sofia Smith,"Liam Tanaka, Maria Patel, Sofia Khan, Sofia Khan",United Kingdom,"September 26, 2021",2020,NR,182 min,"Documentaries, Children & Family Movies, Comedies",A sample description for demonstration purposes.
s60,Movie,Sample Title 60,,"Liam Smith, Yuki Tanaka, Wei Kim",United States,"September 07, 2008",1946,TV-MA,115 min,Dramas,A sample description for demonstration purposes.
s61,TV Show,Sample Title 61,,"Emma Novak, Maria Lee, Olu Lee",South Korea,"August 19, 2008",1982,TV-Y7,5 Seasons,"TV Dramas, TV Comedies",A sample description for demonstration purposes.
s62,Movie,Sample Title 62,,"John Garcia, Raj Lopez, Olu Brown",United Kingdom,"March 15, 2019",2017,TV-14,170 min,"Anime Series, Sports Movies, Action & Adventure",A sample description for demonstration purposes.
s63,TV Show,Sample Title 63,,"John Sharma, Olu Kim",United States,10/2/2008,1976,TV-G,3 Seasons,"International TV Shows, Kids' TV",A sample description for demonstration purposes.
s64,Movie,Sample Title 64,,"Tom Garcia, Nina Smith",United States,2/23/2017,2012,R,159 min,"Cult Movies, Action & Adventure, Thrillers",A sample description for demonstration purposes.
s65,Movie,Sample Title 65,,"Tom Patel, John Chen, Raj Smith, Ahmed Garcia, John Novak",Turkey,"June 10, 2008",1985,PG,61 min,Children & Family Movies,A sample description for demonstration purposes.
s66,Movie,Sample Title 66,Sofia Tanaka,"Nina Sato, Sofia Brown, Alex Novak, Sofia Smith, Emma Sato",Spain,2008-12-11,1950,PG,145 min,"Dramas, Independent Movies",A sample description for demonstration purposes.
s67,Movie,Sample Title 67,,"Emma Kim, Ahmed Kim",United States,2008-12-15,2006,TV-MA,110 min,"Stand-Up Comedy, Horror Movies, Romantic Movies",A sample description for demonstration purposes.
s68,Movie,Sample Title 68,Liam Kim,"Raj Adeyemi, Alex Lee, Yuki Chen, Nina Silva, Diego Chen",Turkey,2008-09-13,1976,NR,145 min,"Independent Movies, Stand-Up Comedy, Thrillers",A sample description for demonstration purposes.
s69,TV Show,Sample Title 69,,"Sofia Khan, Priya Sato, Ahmed Lopez, Diego Khan",India,"May 20, 2008",1968,TV-MA,8 Seasons,"Crime TV Shows, Kids' TV",A sample description for demonstration purposes.
s70,Movie,Sample Title 70,Tom Sharma,"Hana Kim, John Sharma, Wei Jones, John Chen, Wei Chen",United States,2008-02-18,1970,G,88 min,"Independent Movies, Sports Movies, Music & Musicals",A sample description for demonstration purposes.
s71,TV Show,Sample Title 71,,"Yuki Sato, Liam Smith, Liam Khan, Diego Novak",,"December 16, 2008",1986,TV-Y7,7 Seasons,"British TV Shows, Kids' TV, Reality TV",A sample description for demonstration purposes.
s72,TV Show,Sample Title 72,,"Nina Lopez, Raj Novak, Tom Smith, Diego Lee, Emma Patel",United States,"November 15, 2008",1970,TV-PG,5 Seasons,"International TV Shows, TV Dramas, Kids' TV",A sample description for demonstration purposes.
s73,Movie,Sample Title 73,Ahmed Adeyemi,,Spain,2008-04-09,1963,R,81 min,Dramas,A sample description for demonstration purposes.
s74,TV Show,Sample Title 74,,"Tom Kim, Alex Khan",,2008-11-07,1970,TV-PG,2 Seasons,"Reality TV, British TV Shows",A sample description for demonstration purposes.
s75,TV Show,Sample Title 75,,"Raj Adeyemi, John Kim, Ahmed Brown, Liam Patel",Canada,2008-12-04,1993,TV-Y7,3 Seasons,"Crime TV Shows, TV Dramas",A sample description for demonstration purposes.
s76,TV Show,Sample Title 76,,"John Khan, Priya Smith, Sofia Sato, Emma Lopez",United States,"December 01, 2008",1995,TV-14,6 Seasons,TV Comedies,A sample description for demonstration purposes.
s77,TV Show,Sample Title 77,,"John Adeyemi, Nina Novak, Maria Lopez",India,"December 12, 2020",2014,TV-14,3 Seasons,Kids' TV,A sample description for demonstration purposes.
s78,Movie,Sample Title 78,Emma Lopez,"Maria Sharma, Wei Sharma",Canada,"January 07, 2008",1986,TV-14,40 min,"Thrillers, Horror Movies",A sample description for demonstration purposes.
s79,Movie,Sample Title 79,Wei Lopez,"Priya Sato, Emma Lee, Maria Jones, Maria Lopez",South Korea,"July 20, 2008",1977,TV-MA,92 min,Documentaries,A sample description for demonstration purposes.
s80,TV Show,Sample Title 80,,"Tom Lee, Tom Sharma, Yuki Patel, Olu Patel",United States,"May 19, 2008",1958,TV-MA,10 Seasons,"British TV Shows, Reality TV",A sample description for demonstration purposes.
s81,TV Show,Sample Title 81,,"Yuki Adeyemi, Wei Chen, Ahmed Chen",United States,9/15/2008,1945,,4 Seasons,"Kids' TV, International TV Shows, TV Dramas",A sample description for demonstration purposes.
s82,Movie,Sample Title 82,,"Emma Sato, Emma Kim, Raj Novak, Maria Tanaka",United States,2008-07-05,1974,NR,90 min,"Classic Movies, Horror Movies, Music & Musicals",A sample description for demonstration purposes.
s83,Movie,Sample Title 83,Liam Kim,"Raj Kim, Sofia Lopez, Sofia Patel, Alex Brown",United States,2008-06-06,1981,PG,44 min,"Children & Family Movies, Action & Adventure",A sample description for demonstration purposes.
s84,Movie,Sample Title 84,,"Tom Jones, Maria Sharma",United Kingdom,"November 01, 2008",1992,TV-MA,188 min,"Cult Movies, Horror Movies, Documentaries",A sample description for demonstration purposes.
s85,Movie,Sample Title 85,Liam Tanaka,"Ahmed Jones, Ahmed Jones, Olu Tanaka, John Sato, Sofia Patel",,2008-06-26,1949,TV-14,186 min,Cult Movies,A sample description for demonstration purposes.
s86,TV Show,Sample Title 86,,"Diego Khan, Emma Lopez, Wei Tanaka",Nigeria,"August 16, 2008",1952,TV-G,4 Seasons,"Reality TV, TV Comedies, Kids' TV",A sample description for demonstration purposes.
s87,Movie,Sample Title 87,Raj Patel,"Emma Brown, Wei Brown, Raj Lee, Nina Kim, Olu Garcia",Japan,"December 10, 2008",1973,G,125 min,"Sports Movies, Dramas, Anime Series",A sample description for demonstration purposes.
s88,TV Show,Sample Title 88,,"John Sharma, Priya Tanaka, Priya Tanaka, Yuki Smith",United States,,1975,TV-MA,1 Season,"British TV Shows, TV Dramas",A sample description for demonstration purposes.
s89,TV Show,Sample Title 89,,"Tom Garcia, Tom Jones",India,"November 16, 2021",2021,TV-Y,7 Seasons,"TV Dramas, British TV Shows, Crime TV Shows",A sample description for demonstration purposes.
s90,Movie,Sample Title 90,Olu Novak,"John Garcia, Nina Jones, Priya Sharma",United Kingdom,"February 11, 2012",2012,PG-13,169 min,Action & Adventure,A sample description for demonstration purposes.
s91,Movie,Sample Title 91,Maria Khan,"Alex Adeyemi, Yuki Lee",United States,2008-01-01,2001,NC-17,121 min,"International Movies, Sports Movies",A sample description for demonstration purposes.
s92,Movie,Sample Title 92,,"Tom Sharma, Nina Sato, Sofia Khan",,5/6/2008,1955,PG,55 min,Horror Movies,A sample description for demonstration purposes.
s93,Movie,Sample Title 93,Ahmed Smith,"Raj Novak, Maria Chen, Alex Smith, Raj Novak, John Silva",United States,5/27/2008,1960,G,145 min,"Comedies, Classic Movies",A sample description for demonstration purposes.
s94,Movie,Sample Title 94,Wei Patel,"John Silva, Liam Sharma",United States,6/27/2008,1988,PG-13,50 min,Cult Movies,A sample description for demonstration purposes.
s95,TV Show,Sample Title 95,,"Diego Jones, Yuki Tanaka, Yuki Sharma",Australia,2008-08-04,1972,TV-PG,4 Seasons,"Kids' TV, Crime TV Shows",A sample description for demonstration purposes.
s96,Movie,Sample Title 96,,"Wei Lee, Raj Patel, Ahmed Brown, Hana Novak, Raj Lee",United States,"January 16, 2008",1975,PG,164 min,Action & Adventure,A sample description for demonstration purposes.
s97,Movie,Sample Title 97,Emma Patel,"Olu Sato, Raj Adeyemi, Tom Kim, Sofia Garcia, Maria Tanaka",India,"December 02, 2008",1972,NR,63 min,Stand-Up Comedy,A sample description for demonstration purposes.
s98,TV Show,Sample Title 98,,"John Khan, Emma Patel",Canada,2008-05-09,1978,TV-G,8 Seasons,"Reality TV, TV Comedies, Crime TV Shows",A sample description for demonstration purposes.
s99,Movie,Sample Title 99,Liam Tanaka,"Maria Silva, Olu Patel, Priya Silva, Hana Adeyemi, Alex Adeyemi",,2008-08-14,2008,NC-17,45 min,"Horror Movies, Dramas, Thrillers",A sample description for demonstration purposes.
s100,Movie,Sample Title 100,Ahmed Chen,"Emma Sato, Nina Lee, Diego Lopez",Mexico,2008-10-20,1981,TV-PG,143 min,"Stand-Up Comedy, Sci-Fi & Fantasy",A sample description for demonstration purposes.
s101,Movie,Sample Title 101,Maria Silva,"Wei Adeyemi, Maria Garcia, Tom Jones, John Chen",United States,"June 13, 2008",1948,TV-MA,135 min,Stand-Up Comedy,A sample description for demonstration purposes.
s102,Movie,Sample Title 102,,"Priya Chen, Ahmed Kim",India,2008-11-20,1967,TV-14,161 min,"Music & Musicals, Anime Series, Thrillers",A sample description for demonstration purposes.
s103,Movie,Sample Title 103,John Kim,"Ahmed Silva, Priya Novak, Emma Kim",United States,7/21/2008,1963,NC-17,72 min,International Movies,A sample description for demonstration purposes.
s104,Movie,Sample Title 104,Priya Sato,"Olu Lee, Yuki Adeyemi, Yuki Novak, Raj Novak",Nigeria,"June 19, 2008",1966,TV-PG,88 min,"Stand-Up Comedy, Independent Movies",A sample description for demonstration purposes.
s105,Movie,Sample Title 105,Tom Garcia,"Emma Garcia, Raj Jones",United Kingdom,"July 13, 2008",1999,R,118 min,"Music & Musicals, Sci-Fi & Fantasy, Documentaries",A sample description for demonstration purposes.
s106,Movie,Sample Title 106,,"Diego Smith, Hana Lee, Emma Khan",United States,4/23/2008,1969,R,137 min,Sports Movies,A sample description for demonstration purposes.
s107,TV Show,Sample Title 107,,"Raj Khan, Priya Lee, Wei Lopez, Tom Brown, Wei Smith",United States,9/5/2008,1996,TV-Y7,10 Seasons,"TV Comedies, Reality TV",A sample description for demonstration purposes.
s108,TV Show,Sample Title 108,,"Nina Smith, Priya Patel",United Kingdom,10/16/2008,1964,,4 Seasons,"TV Dramas, Kids' TV, TV Comedies",A sample description for demonstration purposes.
s109,Movie,Sample Title 109,Liam Sato,"Tom Kim, Ahmed Sato",India,"February 11, 2008",1971,PG,67 min,"Classic Movies, International Movies",A sample description for demonstration purposes.
s110,TV Show,Sample Title 110,,"Priya Jones, Priya Novak",India,"October 27, 2008",1963,TV-Y,1 Season,"British TV Shows, TV Dramas",A sample description for demonstration purposes.
s111,Movie,Sample Title 111,Wei Smith,"Hana Khan, Emma Kim, Priya Khan, Nina Adeyemi, Raj Patel",Germany,4/4/2008,1954,R,122 min,"Thrillers, International Movies, Comedies",A sample description for demonstration purposes.
s112,Movie,Sample Title 112,Emma Smith,"Tom Silva, Alex Sharma, John Silva, Olu Chen, Ahmed Garcia",Japan,"August 15, 2011",2011,PG,161 min,"International Movies, Action & Adventure, Thrillers",A sample description for demonstration purposes.
s113,Movie,Sample Title 113,Emma Patel,"Tom Smith, Diego Sharma, Nina Kim",France,10/22/2014,2011,PG-13,167 min,"Children & Family Movies, Stand-Up Comedy, Classic Movies",A sample description for demonstration purposes.
s114,TV Show,Sample Title 114,,"Yuki Novak, Emma Chen, Priya Jones",United States,2/17/2008,1981,TV-Y,5 Seasons,Kids' TV,A sample description for demonstration purposes.
s115,Movie,Sample Title 115,Yuki Smith,"Raj Jones, Alex Sharma, Ahmed Khan, Tom Sharma, Alex Lopez",United Kingdom,,1967,PG,112 min,"Action & Adventure, Thrillers, Cult Movies",A sample description for demonstration purposes.
s116,TV Show,Sample Title 116,,"Yuki Silva, Maria Sato",United States,2008-03-15,2002,TV-14,6 Seasons,"TV Dramas, British TV Shows",A sample description for demonstration purposes.
s117,Movie,Sample Title 117,John Kim,"Nina Sato, Nina Sharma",United States,"January 18, 2008",1954,TV-14,42 min,Sports Movies,A sample description for demonstration purposes.
s118,Movie,Sample Title 118,Tom Silva,"Alex Sato, Ahmed Novak, Wei Sato, Yuki Brown",United States,"February 06, 2008",1958,G,59 min,"Stand-Up Comedy, Sci-Fi & Fantasy, Horror Movies",A sample description for demonstration purposes.
s119,Movie,Sample Title 119,Tom Sato,"Maria Novak, Emma Patel, Wei Jones, Priya Tanaka, Diego Sato",Germany,"June 22, 2008",1950,PG,107 min,"Cult Movies, Comedies, Action & Adventure",A sample description for demonstration purposes.
s120,Movie,Sample Title 120,John Adeyemi,"Alex Khan, Ahmed Garcia",France,2008-08-13,1967,TV-PG,137 min,"International Movies, Children & Family Movies, Horror Movies",A sample description for demonstration purposes.
s121,Movie,Sample Title 121,Nina Tanaka,"Olu Lee, Diego Garcia, Maria Khan, Liam Sato",United Kingdom,2016-06-15,2010,NC-17,193 min,"Classic Movies, Thrillers",A sample description for demonstration purposes.
s122,Movie,Sample Title 122,Priya Lopez,"Diego Smith, Priya Adeyemi, Tom Kim, Maria Lee, Tom Kim",United States,"December 14, 2008",1983,R,112 min,"International Movies, Sci-Fi & Fantasy",A sample description for demonstration purposes.
s123,Movie,Sample Title 123,Sofia Lee,"Wei Lopez, Wei Sato, Wei Sato, Olu Jones",South Korea,"April 21, 2008",1968,TV-PG,79 min,"Comedies, Dramas, Classic Movies",A sample description for demonstration purposes.
s124,TV Show,Sample Title 124,,"Yuki Lee, Nina Novak, Olu Jones, Tom Chen, Alex Lopez",India,2008-12-09,1994,TV-14,3 Seasons,"Reality TV, International TV Shows",A sample description for demonstration purposes.
s125,Movie,Sample Title 125,,"Yuki Smith, Priya Garcia, Emma Lee, Liam Kim, Alex Lee",United States,2008-05-12,1989,R,169 min,Comedies,A sample description for demonstration purposes.
s126,Movie,Sample Title 126,,"Priya Tanaka, Hana Tanaka, Ahmed Garcia, Yuki Jones",Germany,,1958,,50 min,"Documentaries, Sports Movies",A sample description for demonstration purposes.
s127,Movie,Sample Title 127,Tom Lee,"Wei Novak, Yuki Jones, Sofia Silva, Priya Silva",Japan,"May 15, 2008",1990,PG,183 min,Comedies,A sample description for demonstration purposes.
s128,TV Show,Sample Title 128,,"Alex Garcia, Raj Tanaka, Olu Adeyemi, Diego Patel",Spain,2008-01-09,1972,TV-Y7,5 Seasons,International TV Shows,A sample description for demonstration purposes.
s129,Movie,Sample Title 129,Liam Smith,"Tom Brown, Alex Sharma, Emma Silva, Tom Patel",United States,"February 12, 2008",1989,TV-14,62 min,"International Movies, Cult Movies, Classic Movies",A sample description for demonstration purposes.
s130,TV Show,Sample Title 130,,,Japan,"August 26, 2008",1951,TV-PG,7 Seasons,"TV Comedies, TV Dramas",A sample description for demonstration purposes.
s131,Movie,Sample Title 131,,"Olu Lee, Liam Silva, Maria Patel, Tom Sharma",United States,7/15/2015,2010,PG,89 min,"Stand-Up Comedy, International Movies",A sample description for demonstration purposes.
s132,Movie,Sample Title 132,,"Sofia Chen, Maria Khan, Yuki Jones, Emma Kim, Wei Brown",United States,"June 26, 2008",1990,TV-MA,55 min,"Dramas, Sports Movies",A sample description for demonstration purposes.
s133,TV Show,Sample Title 133,,"Wei Kim, John Silva",India,2008-06-22,1985,TV-Y7,10 Seasons,International TV Shows,A sample description for demonstration purposes.
s134,Movie,Sample Title 134,Wei Lopez,"Maria Khan, Alex Tanaka, Priya Lopez, Yuki Lopez, Ahmed Jones",United States,"March 12, 2008",1980,NC-17,126 min,"Sports Movies, Dramas, Stand-Up Comedy",A sample description for demonstration purposes.
s135,Movie,Sample Title 135,,"Priya Jones, Nina Chen",Egypt,"July 21, 2008",1990,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers, Anime Series",A sample description for demonstration purposes.
s136,TV Show,Sample Title 136,,,,2008-05-13,2001,TV-Y,6 Seasons,Reality TV,A sample description for demonstration purposes.
s137,TV Show,Sample Title 137,,"Wei Jones, Liam Smith, Maria Brown, Ahmed Smith, Nina Silva",United States,1/13/2008,1984,TV-G,3 Seasons,"TV Comedies, British TV Shows",A sample description for demonstration purposes.
s138,Movie,Sample Title 138,Raj Patel,"Priya Smith, Ahmed Khan",India,"November 05, 2008",1964,R,111 min,"International Movies, Independent Movies",A sample description for demonstration purposes.
s139,Movie,Sample Title 139,Maria Sharma,"Priya Smith, Nina Khan, Sofia Silva",India,"May 08, 2008",1984,R,104 min,Romantic Movies,A sample description for demonstration purposes.
